threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,ai_rate,human_rate
0.7,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.71,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.72,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.73,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.74,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.75,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.76,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.77,0.7474747474747475,0.7474747474747475,1.0,0.8554913294797689,148,50,0,0,1.0,0.0
0.78,0.7575757575757576,0.7551020408163265,1.0,0.8604651162790697,148,48,0,2,0.98989898989899,0.010101010101010055
0.79,0.7626262626262627,0.7616580310880829,0.9932432432432432,0.8621700879765396,147,46,1,4,0.9747474747474747,0.025252525252525304
0.8,0.7727272727272727,0.7696335078534031,0.9932432432432432,0.8672566371681416,147,44,1,6,0.9646464646464646,0.03535353535353536
0.81,0.7727272727272727,0.7696335078534031,0.9932432432432432,0.8672566371681416,147,44,1,6,0.9646464646464646,0.03535353535353536
0.82,0.7727272727272727,0.7754010695187166,0.9797297297297297,0.8656716417910446,145,42,3,8,0.9444444444444444,0.05555555555555558
0.83,0.7727272727272727,0.7877094972067039,0.9527027027027027,0.8623853211009175,141,38,7,12,0.9040404040404041,0.09595959595959591
0.84,0.7575757575757576,0.7906976744186046,0.918918918918919,0.85,136,36,12,14,0.8686868686868687,0.13131313131313127
0.85,0.7474747474747475,0.7987804878048781,0.8851351351351351,0.8397435897435898,131,33,17,17,0.8282828282828283,0.1717171717171717
0.86,0.7525252525252525,0.8235294117647058,0.8513513513513513,0.8372093023255813,126,27,22,23,0.7727272727272727,0.2272727272727273
0.87,0.7222222222222222,0.8251748251748252,0.7972972972972973,0.8109965635738833,118,25,30,25,0.7222222222222222,0.2777777777777778
0.88,0.7070707070707071,0.8461538461538461,0.7432432432432432,0.7913669064748202,110,20,38,30,0.6565656565656566,0.3434343434343434
0.89,0.6868686868686869,0.8981481481481481,0.6554054054054054,0.7578124999999999,97,11,51,39,0.5454545454545454,0.4545454545454546
0.9,0.6616161616161617,0.945054945054945,0.581081081081081,0.7196652719665272,86,5,62,45,0.4595959595959596,0.5404040404040404
0.91,0.6111111111111112,0.961038961038961,0.5,0.6577777777777777,74,3,74,47,0.3888888888888889,0.6111111111111112
0.92,0.5555555555555556,0.9838709677419355,0.41216216216216217,0.5809523809523809,61,1,87,49,0.31313131313131315,0.6868686868686869
0.93,0.4292929292929293,0.972972972972973,0.24324324324324326,0.3891891891891892,36,1,112,49,0.18686868686868688,0.8131313131313131
0.94,0.3282828282828283,1.0,0.10135135135135136,0.18404907975460125,15,0,133,50,0.07575757575757576,0.9242424242424242
0.95,0.2727272727272727,1.0,0.02702702702702703,0.052631578947368425,4,0,144,50,0.020202020202020204,0.9797979797979798
